193,00:17:14.825,00:17:16.827,"['My', 'oldest', 'of', 'friends.']"
194,00:17:18.829,00:17:20.663,"['I', 'miss', 'our', 'days', 'together.']"
195,00:17:20.747,00:17:23.708,"['All', 'I', 'miss', 'from', 'my', 'time', 'with', 'you', 'is', 'the', 'coffee.']"
196,00:17:23.792,00:17:26.336,"['It’s', 'true.', 'My', 'father’s', 'palace', 'was', 'a', 'cruel', 'place']"
197,00:17:26.420,00:17:28.130,"['for', 'a', 'young', 'boy', 'far', 'from', 'home.']"
198,00:17:28.214,00:17:30.465,"['But', 'soon', 'you', 'talked', 'like', 'us,']"
199,00:17:30.549,00:17:33.469,"['prayed', 'like', 'us,', 'fought', 'like', 'us.']"
200,00:17:34.511,00:17:36.638,"['Speaking', 'of', 'which,']"
201,00:17:36.722,00:17:38.974,"['I', 'am', 'owed', '1,000', 'boys.']"
202,00:17:40.559,00:17:43.270,"['Why', 'have', 'I', 'not', 'seen', 'them?']"
203,00:17:43.354,00:17:48.065,"['Mehmed,', 'my', 'brother,', 'I', 'will', 'grant', 'you', 'anything', 'else.']"
204,00:17:48.150,00:17:49.818,"['I', 'need', 'soldiers,']"
205,00:17:51.570,00:17:53.072,['brother.']
206,00:17:59.703,00:18:01.204,"['Then', 'take', 'me.']"
208,00:18:02.831,00:18:05.417,"['I’m', 'worth', 'a', 'thousand', 'boys,', 'and', 'you', 'know', 'it.']"
209,00:18:05.501,00:18:07.627,"['Those', 'kings', 'would', 'tremble', 'if', 'they', 'knew.']"
210,00:18:07.711,00:18:09.504,"['Then', 'accept', 'my', 'offer.']"
211,00:18:09.588,00:18:13.800,"['When', 'we', 'were', 'boys,', 'how', 'I', 'longed', 'to', 'fight', 'side', 'by', 'side.']"
212,00:18:13.884,00:18:17.429,"['But', 'now', 'I', 'am', 'sultan,', 'what', 'need', 'have', 'I', 'for', 'one', 'more', 'soldier?']"
213,00:18:17.513,00:18:19.806,"['I', 'will', 'have', 'my', 'thousand', 'boys.']"
214,00:18:21.267,00:18:22.893,"['And', 'one', 'more.']"
215,00:18:25.354,00:18:28.481,"['Your', 'son', 'will', 'be', 'raised', 'under', 'my', 'roof']"
216,00:18:28.565,00:18:31.943,"['just', 'as', 'you', 'were', 'raised', 'under', 'the', 'roof', 'of', 'my', 'father.']"
217,00:18:32.027,00:18:34.612,"['You', 'may', 'retain', 'your', 'throne.']"
218,00:18:34.696,00:18:39.159,"['But', 'General', 'Ismail', 'will', 'remain', 'to', 'see', 'that', 'my', 'orders', 'are', 'fulfilled.']"
221,00:18:44.873,00:18:47.876,"['If', 'you', 'are', 'virile,', 'you', 'will', 'make', 'plenty', 'more.']"
222,00:19:02.391,00:19:04.476,"['Whoa', 'there.']"
223,00:19:04.560,00:19:06.145,['Whoa.']
224,00:19:22.453,00:19:25.037,"['You', 'promised', 'me', 'this', 'would', 'never', 'happen.']"
225,00:19:22.453,00:19:25.037,"['Mirena,', 'listen.']"
226,00:19:25.121,00:19:27.665,"['The', 'day', 'you', 'asked', 'for', 'my', 'hand,', 'remember', 'what', 'I', 'said?']"
227,00:19:27.749,00:19:29.166,"['You', 'said', 'no.']"
230,00:19:32.838,00:19:35.006,"['You', 'said', 'things', 'would', 'be', 'different.']"
231,00:19:35.090,00:19:37.342,"['You', 'said', 'if', 'I', 'loved', 'you,', 'I', 'should', 'trust', 'you.']"
232,00:19:37.426,00:19:38.885,"['I', 'love', 'you.']"
233,00:19:38.969,00:19:40.845,"['Then', 'trust', 'me.']"
234,00:19:38.969,00:19:40.845,"['It’s', 'this', 'or', 'war.']"
236,00:19:44.350,00:19:46.851,"['Everything’s', 'fine,', 'boys.', 'They’re', 'just', 'saying', 'their', 'good-byes.']"
