words,counts
thin,1
third,1
throat,1
surveil,1
throw,1
tickee,1
ticket,1
ticks,1
tight,1
till,1
timing,1
terrible,1
tends,1
tended,1
tend,1
surveilled,1
suspended,1
sweetheart,1
synonymous,1
taiwan,1
talked,1
talks,1
tasty,1
tax,1
teacher,1
tearing,1
tech,1
technology,1
teed,1
tenants,1
plenty,1
pleasure,1
plea,1
issues,1
intend,1
invade,1
invite,1
ira,1
iraqi,1
iras,1
irishman,1
items,1
integrity,1
jacked,1
james,1
janitor,1
jaw,1
jeopardize,1
jerked,1
jerking,1
intelligence,1
inte,1
ideas,1
indians,1
illustrates,1
imagine,1
immediately,1
impervious,1
important,1
impossible,1
inches,1
indulge,1
insulting,1
info,1
informants,1
informer,1
initial,1
innocent,1
instead,1
instinct,1
johnny,1
joint,1
joking,1
leaving,1
layer,1
laying,1
leader,1
leaks,1
learn,1
lease,1
leaves,1
younger,1
jordan,1
legitimate,1
legs,1
less,1
lets,1
liaison,1
lied,1
lies,1
lay,1
laundry,1
laugh,1
laryngectomy,1
joyce,1
jr,1
jury,1
karate,1
key,1
kitchen,1
kitten,1
knifed,1
knights,1
knock,1
knocked,1
known,1
la,1
ladies,1
lady,1
idiot,1
hump,1
playing,1
grubbing,1
graduate,1
graffiti,1
grave,1
grew,1
grocery,1
group,1
grow,1
gu,1
graced,1
guaran,1
guessing,1
guidance,1
guilty,1
ha,1
haberdashery,1
hah,1
grade,1
governor,1
human,1
garage,1
frigging,1
fuckhead,1
fucks,1
fuckstick,1
future,1
gallons,1
game,1
gents,1
goof,1
gig,1
given,1
glad,1
glove,1
gnawing,1
gold,1
gone,1
haircut,1
hancock,1
handed,1
hon,1
highest,1
hill,1
history,1
hole,1
homeland,1
homes,1
homo,1
honest,1
handgun,1
honestly,1
honesty,1
honey,1
hospital,1
hotshot,1
hour,1
houseguest,1
hibernian,1
helps,1
helpful,1
hello,1
handler,1
handpicked,1
hang,1
hanging,1
happily,1
hardest,1
harvard,1
hate,1
hates,1
hawthorne,1
health,1
hears,1
hedging,1
held,1
hell,1
lieutenant,1
liked,1
likely,1
opened,1
