title,level_1,level_2,level_3,level_4,level_5,level_6,WPS_mean,WPS_std,WPS_min,WPS_max
Madagascar_.Escape.2.Africa,0.5255621117081605,0.4679892443525712,0.29491230239738353,0.49899486870354226,0.32256170581796334,0.5389976976441749,2.1428165483443258,0.9677827230783556,0.5370775309778647,17.471410419313848
Matilda,0.5083059335547098,0.32156058994147274,0.24666676478210697,0.4359601166987874,0.3319659500511627,0.6748469604320819,2.366782935229115,0.970391247054221,0.5511160099200881,5.535055350553506
Monty.Python.and.the.Holy.Grail,0.44636947823874185,0.5036020291674902,0.26484074347718445,0.9379785456175558,0.1878212896651492,0.5551251947804257,2.3109665049380435,1.0835645635936977,0.5448601525608427,8.191925102399063
Morning.Glory,0.5578474868633585,0.5487659687194114,0.4421085619626991,0.691252630294774,0.4737981373375219,0.8338203752129498,3.362235475330574,1.2565018908423016,0.639386189258312,7.994186046511628
Narcos,0.023721640503790806,0.17236525422537158,0.19780726881986035,0.2023082391237938,0.1640782062717619,0.1617705710666053,2.8496240929777032,1.0052945633962902,0.639386189258312,7.052186177715093
Notting.Hill,0.41568767752110075,0.3531713332192426,0.24848182124738258,0.4270004648765833,0.3152173711386508,0.2614508209980612,2.9677860241580265,1.125350855405116,0.62266500622665,7.6701821668264625
Passengers,0.3395509201569092,0.20053283127907126,0.16709462898066207,0.0,0.1963241976407425,0.27023053240790007,3.0137675222384464,1.1164200979461345,0.7155635062611807,6.925945657964838
Peaky.Blinders,0.06355385858806549,0.1882186809857401,0.1225466967888433,0.2818267497272792,0.11300776142256674,0.14556345735162807,2.7959000064760704,0.7537571366570275,0.7142857142857143,8.0
Penguins.of.Madagascar_.The.Movie,0.47510828832050006,0.4208345435061615,0.47774501293899707,0.5991233002656369,0.33669776221410486,0.6847087369592734,2.395318061203802,0.9687424027930516,0.5577244841048522,6.305170239596468
Prisoners,0.17358507596067196,0.06431421183529418,0.03991632898111826,0.18008657792160002,0.06716652296122715,0.10038701280542796,3.306699405981195,1.319730509919564,0.7155635062611807,9.090909090909092
Rick.and.Morty,0.26582010038132303,0.5175221146526789,0.5293943895356414,0.6637731193625848,0.5705560630920264,0.6072256018190556,3.1848016274959785,0.9047016395306025,0.7233646791360959,6.454587367450437
Seaspiracy,0.8197331371746177,0.9803215030071672,0.9158870996903345,0.5640182817084263,0.5474929370157132,0.504130032336827,3.0825120302549136,0.7088913617083136,0.5812432793745822,5.770084332001775
Second.Act,0.5810712806449179,0.4618990730427202,0.3783632476858599,0.30180584011192413,0.42236137781337674,0.3981074364610058,3.289352116488136,1.0029997971332794,0.8274720728175424,6.463527239150508
Sherlock,0.17587638030368452,0.3447785150366183,0.26036489750604375,0.2906358577555371,0.27746396492134995,0.33364427520772477,2.812037653527953,1.3255692148787597,0.5,10.576923076923077
Stranger.Things,0.0,0.024198197560255544,0.036049514425257126,0.10023772227510311,0.12169019670764256,0.13597947428250712,3.1087506472663367,1.208721254206926,0.7377351530800443,8.302583025830257
The.Accountant,0.4656677771241551,0.4363283535986636,0.4129391858929873,0.3042863441148177,0.3336858868310108,0.378167798040866,2.599439822200828,1.10771631049022,0.5918910920390648,11.415525114155251
The.Boy.in.the.Striped.Pajamas,0.2687609832873091,0.12125591827321594,0.014390036355096144,0.1346284111631305,0.028609578985225443,0.07866558642186473,3.2278478003432283,0.9888290313346738,0.8058991820123302,5.770084332001775
The.Dark.Knight,0.351336696628874,0.46001019863137355,0.33892516624474844,0.4459454557251194,0.328105748823814,0.3139781367877908,2.857939267316757,0.9998465457454012,0.5524480353566743,6.242197253433209
The.Departed,0.3266250808211076,0.3256485306077183,0.27479087826571835,0.3532135429902843,0.2872848833291553,0.33584431377644003,2.752974841357045,1.1039530219927738,0.5047955577990914,6.16860863605209
