Word,Domain,Level
cabinet,social_studies,3
civic,social_studies,3
crossroad,social_studies,3
delegate,social_studies,3
empire,social_studies,3
entrepreneur,social_studies,3
farmland,social_studies,3
federal,social_studies,3
geographer,social_studies,3
geographic,social_studies,3
historian,social_studies,3
horseback,social_studies,3
irish,social_studies,3
jazz,social_studies,3
labor,social_studies,3
longhouse,social_studies,3
monk,social_studies,3
olmsted,social_studies,3
patriotic,social_studies,3
peacefully,social_studies,3
revolutionary,social_studies,3
scold,social_studies,3
smallpox,social_studies,3
temple,social_studies,3
tepee,social_studies,3
troop,social_studies,3
wealth,social_studies,3
advisor,social_studies,3
arrest,social_studies,3
boss,social_studies,3
colonize,social_studies,3
confederacy,social_studies,3
constitutional,social_studies,3
cooperation,social_studies,3
corps,social_studies,3
debt,social_studies,3
foreign,social_studies,3
guinea,social_studies,3
highland,social_studies,3
homeland,social_studies,3
inland,social_studies,3
invest,social_studies,3
livestock,social_studies,3
majority,social_studies,3
monarchy,social_studies,3
multicultural,social_studies,3
navigator,social_studies,3
nonprofit,social_studies,3
patrol,social_studies,3
payment,social_studies,3
phonetic,social_studies,3
pirate,social_studies,3
possession,social_studies,3
segregation,social_studies,3
seize,social_studies,3
staff,social_studies,3
terror,social_studies,3
tropic,social_studies,3
westward,social_studies,3
witness,social_studies,3
range,general,4
essay,general,4
condition,general,4
scientific,general,4
reference,general,4
increase,general,4
growth,general,4
convert,general,4
customary,general,4
generalization,general,4
acute,general,4
inference,general,4
conclude,general,4
role,general,4
comparison,general,4
partial,general,4
select,general,4
specific,general,4
basic,general,4
progress,general,4
actual,general,4
appropriate,general,4
task,general,4
ability,general,4
conduct,general,4
conflict,general,4
influence,general,4
persuasive,general,4
primary,general,4
audience,general,4
historical,general,4
organization,general,4
positive,general,4
precise,general,4
transform,general,4
unfamiliar,general,4
variety,general,4
vary,general,4
boundary,general,4
career,general,4
exist,general,4
narrow,general,4
preserve,general,4
publish,general,4
reduce,general,4
simplify,general,4
suggest,general,4
advertisement,general,4
descriptive,general,4
eventually,general,4
involve,general,4
prevent,general,4
endanger,general,4
error,general,4
examine,general,4
generate,general,4
require,general,4
decrease,general,4
differ,general,4
draft,general,4
evenly,general,4
inspire,general,4
limit,general,4
rate,general,4
beyond,general,4
discussion,general,4
forecast,general,4
