Word,oxford_level,oxford_version,lexile_grade,lexile_category,awsl,toefl,tsl,bsl,ngsl_freq,ngsl_sp_freq,naver_priority,lemmetized,proper_noun,word_level,camb_level,category
aesop,NN,0,3,social_studies,N,N,N,N,NN,NN,1.0,True,True,4,NN,social_studies
breakthrough,C1,5000,0,NN,N,Y,N,Y,B1,B1,0.0,True,False,4,B2,NN
aesthetic,C1,5000,9,general,N,Y,N,N,A4,A4,1.0,True,False,4,NN,general
recount,C1,5000,9,social_studies,N,N,N,N,B1,B1,0.0,True,False,4,NN,social_studies
separation,C1,5000,5,general,N,Y,N,Y,A4,A4,2.0,True,False,4,B2,general
calculation,C1,5000,6,general,N,Y,Y,Y,A3,A4,2.0,True,False,4,B2,general
pub,NN,0,0,NN,N,N,N,N,A3,A3,2.0,True,False,4,C1,NN
broadly,B2,5000,9,general,N,N,N,Y,A4,A4,2.0,False,False,4,C1,general
unpleasant,B1,3000,0,NN,N,Y,Y,N,B1,B1,2.0,False,False,4,C1,NN
tolerant,NN,0,9,general,N,Y,N,N,B2,B2,1.0,False,False,4,C1,general
secondly,C1,5000,9,social_studies,N,N,N,N,A2,A3,1.0,False,False,4,B2,social_studies
badlands,NN,0,4,social_studies,N,N,N,N,C3,C3,0.0,True,False,4,NN,social_studies
adviser,NN,0,0,NN,N,N,N,N,A3,A2,1.0,True,False,4,C1,NN
advisor,NN,0,3,social_studies,N,Y,Y,Y,B1,A4,0.0,True,False,4,NN,social_studies
sacrifice,C1,5000,4,social_studies,N,N,N,Y,A4,A4,2.0,True,False,4,C1,social_studies
vine,NN,0,0,NN,N,N,N,N,B2,B3,1.0,True,False,4,C1,NN
varied,C1,5000,0,NN,N,N,N,N,NN,NN,2.0,False,False,4,B2,NN
serial,C1,5000,0,NN,N,Y,Y,Y,B1,B1,1.0,True,False,4,C1,NN
viking,NN,0,5,social_studies,N,Y,N,N,NN,NN,1.0,True,False,4,NN,social_studies
unjustified,NN,0,0,NN,N,N,N,N,C1,C1,0.0,False,False,4,C1,NN
at-a-glance,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,4,C1,NN
rectangle,NN,0,2,math,Y,N,N,N,B3,B3,1.0,True,False,4,C1,math
